,X,Y,Region
499,0.4,5.800000000000001,LC
500,0.4,6.0,LC
501,0.4,6.2,LC
502,0.4,6.4,LC
503,0.4,6.6000000000000005,LC
504,0.4,6.800000000000001,LC
505,0.4,7.0,LC
506,0.4,7.2,LC
507,0.4,7.4,LC
508,0.4,7.6000000000000005,LC
509,0.4,7.800000000000001,LC
510,0.4,8.0,LC
511,0.4,8.200000000000001,LC
512,0.4,8.4,LC
513,0.4,8.6,LC
514,0.4,8.8,LC
515,0.4,9.0,LC
516,0.4,9.200000000000001,LC
517,0.4,9.4,LC
518,0.4,9.600000000000001,LC
519,0.4,9.8,LC
520,0.4,10.0,LC
521,0.4,10.200000000000001,LC
522,0.4,10.4,LC
523,0.4,10.600000000000001,LC
524,0.4,10.8,LC
525,0.4,11.0,LC
526,0.4,11.200000000000001,LC
527,0.4,11.4,LC
528,0.4,11.600000000000001,LC
529,0.4,11.8,LC
530,0.4,12.0,LC
531,0.4,12.200000000000001,LC
532,0.4,12.4,LC
533,0.4,12.600000000000001,LC
534,0.4,12.8,LC
535,0.4,13.0,LC
536,0.4,13.200000000000001,LC
537,0.4,13.4,LC
538,0.4,13.600000000000001,LC
539,0.4,13.8,LC
540,0.4,14.0,LC
541,0.4,14.200000000000001,LW
542,0.4,14.4,LW
543,0.4,14.600000000000001,LW
544,0.4,14.8,LW
545,0.4,15.0,LW
546,0.4,15.200000000000001,LW
547,0.4,15.4,LW
548,0.4,15.600000000000001,LW
549,0.4,15.8,LW
550,0.4,16.0,LW
551,0.4,16.2,LW
552,0.4,16.400000000000002,LW
553,0.4,16.6,LW
554,0.4,16.8,LW
555,0.4,17.0,LW
556,0.4,17.2,LW
557,0.4,17.400000000000002,LW
558,0.4,17.6,LW
559,0.4,17.8,LW
560,0.4,18.0,LW
561,0.4,18.2,LW
562,0.4,18.400000000000002,LW
563,0.4,18.6,LW
564,0.4,18.8,LW
565,0.4,19.0,LW
566,0.4,19.200000000000003,LW
567,0.4,19.400000000000002,LW
568,0.4,19.6,LW
569,0.4,19.8,LW
570,0.4,20.0,LW
571,0.4,20.200000000000003,LW
572,0.4,20.400000000000002,LW
573,0.4,20.6,LW
574,0.4,20.8,LW
575,0.4,21.0,LW
576,0.4,21.200000000000003,LW
577,0.4,21.400000000000002,LW
578,0.4,21.6,LW
579,0.4,21.8,LW
580,0.4,22.0,LW
581,0.4,22.200000000000003,LW
582,0.4,22.400000000000002,LW
583,0.4,22.6,LW
584,0.4,22.8,LW
585,0.4,23.0,LW
586,0.4,23.200000000000003,LW
587,0.4,23.400000000000002,LW
588,0.4,23.6,LW
589,0.4,23.8,LW
590,0.4,24.0,LW
591,0.4,24.200000000000003,LW
592,0.4,24.400000000000002,LW
593,0.4,24.6,LW
594,0.4,24.8,LW
595,0.4,25.0,LW
596,0.4,25.200000000000003,LW
597,0.4,25.400000000000002,LW
598,0.4,25.6,LW
599,0.4,25.8,LW
600,0.4,26.0,LW
601,0.4,26.200000000000003,LW
602,0.4,26.400000000000002,LW
603,0.4,26.6,LW
